Hours_Studied,Attendance,Parental_Involvement,Access_to_Resources,Sleep_Hours,Previous_Scores,Motivation_Level,Tutoring_Sessions,Family_Income,Teacher_Quality,Physical_Activity,Parental_Education_Level,Exam_Score,Extracurricular_Activities_No,Extracurricular_Activities_Yes,School_Type_Private,School_Type_Public,Gender_Female,Gender_Male,Internet_Access_No,Internet_Access_Yes,Peer_Influence_Negative,Peer_Influence_Neutral,Peer_Influence_Positive,Distance_from_Home_Far,Distance_from_Home_Moderate,Distance_from_Home_Near,Learning_Disabilities_No,Learning_Disabilities_Yes
20,86,2,2,8,89,2,1,1,2,3,2,69,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
26,75,1,0,4,81,0,3,2,0,2,1,70,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
22,98,2,0,5,69,1,1,1,0,4,1,69,1,0,0,1,1,0,1,0,1,0,0,0,1,0,1,0
16,73,2,2,7,95,2,1,1,2,4,0,65,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
22,98,2,1,7,52,2,3,2,2,3,0,70,0,1,0,1,1,0,1,0,0,0,1,0,0,1,1,0
29,96,2,1,7,72,2,1,1,2,3,1,71,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
20,71,2,2,7,88,2,1,1,1,4,0,65,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
29,92,1,2,4,91,2,2,2,2,1,2,72,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
4,100,0,0,8,60,0,0,2,0,4,0,69,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
25,70,2,2,7,52,2,1,2,2,3,2,66,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
21,77,1,2,7,90,2,4,2,2,3,2,68,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
18,81,0,1,8,71,2,0,2,2,3,1,65,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
21,72,2,2,5,57,2,1,0,2,5,0,64,0,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1
8,61,2,2,7,54,2,1,0,2,3,0,60,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
19,69,2,0,7,82,0,1,1,2,2,1,65,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
22,71,0,2,6,79,0,1,1,1,3,1,66,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
29,78,0,0,4,93,1,5,2,0,3,0,74,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
17,67,2,2,5,52,0,2,2,2,3,1,62,0,1,1,0,1,0,0,1,1,0,0,1,0,0,1,0
15,95,2,2,7,93,2,2,1,2,4,0,70,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
17,88,2,0,7,94,1,0,2,2,3,1,69,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
25,63,2,0,7,72,2,3,2,0,4,0,67,0,1,1,0,0,1,0,1,1,0,0,1,0,0,1,0
22,86,1,1,6,54,2,2,2,2,0,1,64,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
17,86,2,0,5,97,0,3,0,2,3,0,71,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
23,98,2,1,7,54,1,0,2,2,3,0,68,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
21,60,0,2,7,80,2,0,2,0,4,0,64,1,0,0,1,0,1,0,1,0,1,0,0,0,1,0,1
26,70,2,1,8,75,2,1,2,1,4,1,63,0,1,1,0,1,0,0,1,0,1,0,1,0,0,0,1
16,97,2,2,6,92,1,0,0,2,4,0,71,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
18,97,0,2,4,75,1,0,1,2,3,1,69,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
18,89,0,2,4,73,2,3,0,2,2,0,100,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
11,91,2,2,6,94,2,3,2,2,3,0,68,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
22,64,1,2,7,98,1,1,2,2,3,1,62,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
22,81,2,2,7,77,1,2,2,2,3,2,68,0,1,0,1,1,0,0,1,0,0,1,1,0,0,1,0
20,69,0,0,6,73,2,2,1,2,3,1,66,0,1,1,0,0,1,0,1,0,0,1,1,0,0,1,0
19,67,1,2,5,92,0,0,2,2,3,0,64,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
12,92,2,2,4,92,0,2,2,0,3,1,67,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1
17,65,2,0,8,66,2,1,0,0,4,2,65,0,1,0,1,1,0,0,1,0,1,0,0,1,0,0,1
18,79,2,2,7,79,2,0,1,0,3,0,65,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
15,98,0,2,6,58,0,0,1,0,3,0,69,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
19,67,2,2,5,82,0,1,1,1,3,1,63,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0
22,99,2,1,6,92,1,3,2,2,4,2,72,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
31,100,2,2,7,59,2,2,0,0,5,2,76,1,0,0,1,0,1,0,1,0,0,1,0,1,0,1,0
21,82,2,0,7,66,0,3,1,2,3,0,69,0,1,0,1,1,0,0,1,0,0,1,0,0,1,0,1
22,67,2,2,7,72,0,3,1,0,2,2,67,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
20,73,0,2,9,92,2,2,2,0,3,0,69,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
8,77,0,2,6,87,2,0,1,2,2,1,63,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
20,72,2,2,9,66,2,3,1,0,3,2,67,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
20,71,1,0,7,62,0,2,2,2,5,0,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
35,99,0,0,7,85,1,2,2,0,2,2,79,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
19,66,2,2,8,74,2,1,0,2,3,1,64,1,0,0,1,1,0,0,1,0,1,0,0,0,1,1,0
22,89,0,0,6,80,2,1,0,0,3,1,73,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
20,60,1,0,7,82,0,2,1,0,4,1,63,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,1
13,84,2,2,5,78,2,1,1,0,2,1,65,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
27,97,1,0,8,81,2,0,0,2,5,1,73,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
25,72,0,0,8,94,1,2,1,2,4,0,70,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
25,67,0,2,9,93,0,2,1,0,3,1,68,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
15,86,2,2,7,57,2,1,2,2,3,0,65,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
28,89,1,0,9,79,0,0,1,2,1,0,71,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
12,88,1,2,6,72,1,2,2,2,2,0,64,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
24,73,2,0,8,64,2,4,0,2,3,0,68,0,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1
33,70,2,2,6,82,1,1,1,0,4,0,69,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
14,98,2,2,7,76,2,0,2,0,4,0,69,1,0,1,0,1,0,0,1,0,0,1,0,1,0,1,0
21,78,2,2,10,55,2,1,0,1,2,0,67,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
17,94,1,2,8,65,1,4,2,2,6,1,68,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
11,78,2,0,8,51,2,2,1,2,3,2,64,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,77,2,2,6,87,1,0,1,0,4,1,66,1,0,0,1,1,0,0,1,0,0,1,0,0,1,1,0
14,66,0,1,7,96,2,3,1,0,3,1,63,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
23,77,2,2,7,79,2,0,1,0,2,1,66,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
14,81,2,2,9,81,2,1,1,0,3,2,66,1,0,1,0,1,0,0,1,1,0,0,0,0,1,1,0
29,61,2,0,7,52,1,3,1,2,3,0,67,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
15,78,0,0,9,75,1,1,1,2,1,1,65,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
18,91,1,2,5,76,2,1,2,2,3,1,68,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
25,87,2,1,9,52,0,1,1,0,2,1,68,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
13,85,0,2,6,89,2,0,0,2,1,1,65,1,0,1,0,0,1,0,1,0,1,0,0,0,1,0,1
21,96,2,2,8,64,0,2,2,0,0,0,71,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
28,61,2,0,6,86,0,1,1,2,3,2,65,1,0,1,0,0,1,0,1,1,0,0,1,0,0,0,1
10,82,2,1,8,70,2,3,1,0,1,2,64,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,1
21,91,0,2,6,100,2,0,0,2,2,2,72,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
22,82,2,2,9,61,2,2,1,2,2,1,65,1,0,0,1,1,0,0,1,1,0,0,0,0,1,0,1
25,73,2,0,8,53,0,0,1,0,5,2,66,1,0,1,0,1,0,1,0,1,0,0,0,0,1,1,0
13,65,1,0,6,99,2,0,1,2,4,1,61,1,0,1,0,0,1,0,1,1,0,0,0,0,1,1,0
12,96,1,0,8,62,2,2,2,0,3,0,68,0,1,0,1,1,0,0,1,1,0,0,0,0,1,1,0
23,79,0,0,8,82,1,3,2,2,3,2,69,0,1,0,1,1,0,0,1,1,0,0,0,1,0,0,1
22,95,2,0,6,69,2,1,1,2,3,0,72,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
22,83,2,0,5,82,2,2,1,0,3,2,71,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
22,87,0,0,5,80,1,2,1,0,3,1,70,1,0,0,1,1,0,0,1,1,0,0,0,0,1,1,0
16,92,2,0,5,85,1,1,1,2,2,1,68,0,1,0,1,0,1,0,1,0,1,0,0,1,0,1,0
21,86,1,2,5,51,2,2,1,0,2,1,67,0,1,0,1,1,0,0,1,0,0,1,0,1,0,1,0
22,76,2,2,8,92,2,1,1,0,4,1,68,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
16,81,2,2,8,74,2,3,2,2,2,2,68,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
31,92,2,2,4,76,2,2,2,0,4,1,72,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1
23,75,1,0,6,71,1,0,2,2,2,0,65,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
13,76,2,0,5,99,1,2,2,2,4,1,66,1,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0
24,64,2,2,8,90,0,0,1,0,3,1,65,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
14,97,2,2,6,66,2,2,2,2,3,0,67,0,1,0,1,1,0,0,1,1,0,0,0,0,1,0,1
25,64,2,0,5,89,1,2,2,2,4,0,66,1,0,0,1,0,1,0,1,0,1,0,1,0,0,1,0
27,86,2,2,7,72,1,1,2,0,4,1,69,1,0,0,1,0,1,0,1,0,0,1,1,0,0,1,0
15,77,2,2,8,94,1,0,0,0,3,0,66,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
26,76,2,0,6,52,2,4,0,1,3,1,69,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
22,87,0,1,7,68,2,0,1,2,2,1,67,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
25,63,0,2,6,71,2,1,2,1,3,1,66,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
31,84,2,2,9,87,2,2,1,2,3,0,71,0,1,1,0,0,1,0,1,0,1,0,1,0,0,1,0
19,91,0,1,6,59,2,5,2,0,4,0,70,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
15,93,0,2,6,64,2,2,2,0,4,2,71,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
15,67,2,2,7,86,0,1,0,2,3,2,66,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
15,96,2,2,7,54,0,3,2,0,2,1,67,1,0,0,1,0,1,1,0,1,0,0,0,0,1,1,0
20,86,0,1,8,60,2,1,2,2,4,0,66,1,0,0,1,1,0,0,1,0,1,0,1,0,0,0,1
22,95,2,0,9,88,1,0,1,0,2,2,72,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
22,79,2,2,9,94,2,1,2,2,3,1,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
25,82,2,2,6,86,2,3,1,0,3,1,69,1,0,0,1,1,0,1,0,0,0,1,0,0,1,1,0
20,97,2,2,7,76,1,2,1,1,3,2,71,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
29,96,2,2,9,55,1,0,2,2,2,2,70,0,1,0,1,1,0,1,0,0,1,0,1,0,0,1,0
18,78,2,2,9,91,0,2,0,1,4,0,67,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
36,71,2,2,6,56,2,2,0,2,2,1,69,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
24,76,1,0,8,69,1,2,2,2,1,1,65,1,0,0,1,0,1,0,1,0,1,0,0,1,0,1,0
15,76,0,0,8,53,2,1,1,2,4,0,65,1,0,0,1,0,1,0,1,0,1,0,0,0,1,1,0
14,71,2,2,8,85,1,2,2,0,4,1,64,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
23,71,1,1,9,75,1,1,1,2,2,0,63,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
19,94,1,2,5,95,2,3,1,1,2,1,69,0,1,0,1,0,1,0,1,0,0,1,0,1,0,1,0
24,63,2,1,6,57,2,1,1,0,5,0,64,0,1,1,0,1,0,0,1,0,1,0,0,0,1,1,0
23,87,0,0,8,91,0,0,0,2,3,1,72,0,1,1,0,0,1,0,1,0,0,1,0,1,0,1,0
20,67,1,2,7,76,2,0,2,2,4,1,63,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
15,74,1,0,4,68,1,3,1,2,3,1,64,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
11,62,2,0,5,82,2,3,0,2,4,0,64,0,1,1,0,0,1,0,1,0,1,0,0,1,0,1,0
17,71,2,2,8,90,2,5,2,2,1,2,67,0,1,0,1,0,1,0,1,0,0,1,1,0,0,1,0
25,91,2,2,8,72,1,2,2,0,0,2,71,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
21,95,2,2,5,62,0,1,2,1,4,1,70,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
13,69,2,1,9,96,1,0,0,2,4,1,61,0,1,1,0,1,0,0,1,0,1,0,1,0,0,1,0
21,79,2,0,7,66,1,2,1,2,4,0,67,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
22,79,0,2,5,100,2,4,0,0,3,0,72,1,0,0,1,0,1,0,1,1,0,0,0,0,1,1,0
15,95,1,1,6,88,1,1,1,2,5,1,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,1,0
21,91,2,0,5,84,2,1,0,1,2,1,70,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
20,81,0,2,6,51,0,3,2,2,4,1,67,0,1,0,1,0,1,1,0,0,1,0,0,0,1,0,1
13,87,0,1,4,72,2,2,2,0,3,1,67,0,1,0,1,1,0,0,1,0,1,0,0,1,0,1,0
22,94,1,2,7,75,0,2,0,2,2,0,71,0,1,0,1,1,0,0,1,0,1,0,0,0,1,1,0
23,60,0,2,8,69,2,1,1,2,4,0,66,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
26,76,2,2,5,57,2,1,2,2,4,1,68,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
26,96,2,2,7,68,2,3,0,2,3,0,74,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
12,90,2,1,6,54,2,1,0,2,3,1,64,0,1,0,1,0,1,1,0,0,1,0,0,0,1,1,0
14,82,2,2,8,65,2,1,1,2,3,0,65,1,0,1,0,0,1,0,1,0,0,1,0,0,1,1,0
23,81,1,2,4,54,2,1,1,2,3,0,66,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
23,74,2,0,8,88,1,0,2,0,3,1,66,0,1,0,1,0,1,0,1,1,0,0,0,0,1,0,1
23,81,2,1,4,84,2,2,2,2,5,1,68,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
43,86,0,2,7,97,2,2,2,0,1,1,78,0,1,0,1,1,0,0,1,0,0,1,0,0,1,1,0
23,77,2,0,6,69,1,1,2,2,2,1,67,0,1,1,0,1,0,0,1,0,0,1,0,1,0,1,0
27,89,2,0,6,89,2,3,2,2,3,1,74,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
26,94,2,0,5,79,0,1,1,0,2,2,74,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
24,66,2,1,9,82,1,1,2,2,2,1,62,1,0,0,1,1,0,0,1,0,1,0,0,0,1,0,1
18,78,0,2,5,77,2,2,2,2,4,1,66,0,1,0,1,0,1,1,0,0,1,0,1,0,0,1,0
25,76,2,2,5,89,0,3,2,0,3,1,69,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,0
15,87,2,0,10,52,2,2,1,0,3,0,68,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
19,70,2,1,7,54,0,0,2,2,2,1,89,1,0,0,1,0,1,0,1,0,0,1,0,1,0,0,1
17,86,0,1,5,55,1,2,0,2,4,0,66,1,0,1,0,0,1,1,0,0,1,0,0,0,1,1,0
20,95,1,2,7,64,1,2,2,0,3,1,68,0,1,0,1,1,0,1,0,0,1,0,0,0,1,1,0
34,77,2,1,7,80,1,0,2,2,3,1,69,0,1,0,1,0,1,0,1,0,0,1,0,0,1,1,0
9,96,2,2,4,82,0,0,1,2,4,0,67,0,1,0,1,0,1,1,0,0,0,1,0,0,1,1,0
24,100,0,0,6,86,1,2,2,2,5,1,75,0,1,1,0,0,1,0,1,0,0,1,0,0,1,1,0
10,64,2,0,7,64,0,0,2,2,4,1,60,1,0,0,1,1,0,0,1,0,0,1,0,1,0,0,1
17,69,0,2,9,83,2,2,2,0,4,0,66,0,1,1,0,1,0,0,1,0,0,1,0,1,0,0,1
27,98,1,0,7,56,1,1,0,2,3,0,73,0,1,1,0,1,0,0,1,0,0,1,0,0,1,1,0
20,98,2,1,7,50,1,1,2,0,2,1,68,1,0,1,0,1,0,0,1,0,1,0,0,0,1,1,0
14,64,2,2,6,85,2,0,2,2,3,1,62,0,1,0,1,0,1,0,1,0,1,0,0,0,1,1,0
16,61,2,2,9,86,1,2,1,0,2,1,62,1,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0
24,66,0,1,8,81,0,1,2,2,4,1,65,0,1,0,1,0,1,0,1,0,1,0,1,0,0,1,0
16,100,0,1,8,63,0,2,1,2,3,1,69,0,1,0,1,0,1,0,1,1,0,0,0,1,0,1,0
21,67,2,2,7,96,1,3,1,2,2,1,64,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,0
20,80,2,0,5,94,2,0,1,1,4,2,67,1,0,1,0,1,0,0,1,0,0,1,0,1,0,0,1
